WORD,Val,Val_sd,joy,joy_sd,anger,anger_sd,sadness,sadness_sd,fear,fear_sd,disgust,disgust_sd
kritik,"-0,8","0,78881064","1,1364","0,46756253","2,2273","1,1519","1,4091","0,6661","1,8636","1,1253","1,0909","0,2942"
krokodil,"-0,95","1,5","1,7","0,86450473","1,25","0,5501","1,2","0,5231","2,5","1,2773","1,35","0,8127"
krokus,"1,4","0,68055705","3,4545","1,40500035",1,0,"1,0909","0,2942",1,0,"1,0455","0,2132"
krone,"1,15","1,03998988","2,7826","1,47575933","1,3478","0,9346","1,3913","0,8913","1,3043","0,9261","1,1739","0,8341"
krÃ¼cke,"-1,95","0,9",1,0,2,"1,1698","1,85","1,0894","1,8","1,105","1,4","0,8208"
kruzifix,"0,6","1,17378779","1,25","0,5501196","1,75","0,8507","1,45","0,6863","1,55","0,7592","1,25","0,5501"
kuchen,"1,6","0,99472292","3,6818","1,32328464","1,0909","0,2942",1,0,"1,0909","0,2942","1,1364","0,3513"
kugel,"0,45","0,99868334","2,0455","1,29015587","1,4545","1,1843","1,5455","1,2994",2,"1,5119","1,4091","0,9591"
kuhle,"-0,05","0,88704121","1,3182","0,94548368","1,3636","0,9535","1,3636","0,9535","1,5455","1,0568","1,5909","1,1406"
kÃ¼ken,"1,77","0,92","3,7083","1,23285341","1,25","0,847","1,25","0,7372","1,1667","0,8165","1,25","0,847"
kult,"-0,1","1,10050493","1,9","1,02083557","2,15","1,1367","1,6","1,1425","2,15","1,3089","2,25","1,4824"
kultur,"1,5","1,23544154",3,"1,26491106","1,2381","0,539","1,0952","0,3008","1,1429","0,3586","1,1429","0,4781"
kummer,"-1,9","0,56764621","1,0476","0,21821789","2,0476","1,0235","3,1905","1,504","2,1429","1,0623","1,1905","0,8729"
kumpan,"1,15","1,26802789","2,1905","0,98076744","1,1429","0,3586","1,0952","0,3008","1,1429","0,3586","1,0952","0,4364"
kunde,"0,35","0,933302","2,2174","1,44463024","1,8261","1,0725","1,2609","0,8643","1,3478","0,8847","1,3478","0,9346"
kunst,"1,82352941","0,96830337","3,6087","1,15754954","1,5652","0,9451","1,3478","0,7751","1,3913","1,0762","1,1304","0,3444"
kÃ¼nstler,"1,79411765","0,97792023","3,15","1,38696943","1,35","0,8127","1,1","0,3078","1,05","0,2236","1,1","0,3078"
kupfer,"0,5","0,60697698","1,8571","1,45896245",1,0,"1,0476","0,2182",1,0,"1,0476","0,2182"
kuppe,"0,05","0,82557795","1,9091","1,34196341","1,2727","0,8827","1,2727","0,9351","1,2727","0,8827","1,4545","1,0108"
kÃ¼rbis,"0,5","1,1","2,381","1,24403338","1,0476","0,2182",1,0,1,0,"1,5714","1,165"
