WORD,Val,Val_sd,joy,joy_sd,anger,anger_sd,sadness,sadness_sd,fear,fear_sd,disgust,disgust_sd
abart,"-1,6","0,6992059","1,4762","0,98076744","1,7143","1,0556","1,7143","1,1019","1,8095","0,9284","2,4762","1,3645"
abbau,-1,"1,1697953","1,25","0,7163504","2,4","1,1425","2,35","1,2258","2,3","1,4179","1,5","0,8272"
abbild,"-0,2","0,63245553","1,8636","1,03718734","1,4545","1,0108","1,2273","0,5284","1,3636","0,9021","1,3182","0,9455"
abbruch,"-0,7","1,15950181","1,1","0,30779351","2,55","1,3169","1,7","0,9234","2,15","1,268","1,2","0,6959"
abdruck,"-0,1","0,31622777","1,4","0,75393703","1,2","0,5231","1,1","0,4472",1,0,1,0
abend,"1,65","0,933302","3,2","1,15165784","1,35","0,6708","1,75","0,9105","1,5","0,6882","1,2","0,4104"
abendrot,"2,4","0,6992059","3,85","1,08942283",1,0,"1,6","1,0463",1,0,1,0
abfahrt,"0,3","0,48304589","2,2","1,47255596","1,05","0,2236","1,6","0,9947","1,45","0,7592",1,0
abfall,"-1,7","0,97872097","1,24","0,83066239","1,88","0,9274","1,16","0,5538","1,16","0,5538","3,12","1,481"
abflug,"0,7","0,8232726","2,1","1,25236618","1,6","0,8826","1,8","0,9515","1,9","1,1653","1,25","0,6387"
abfuhr,"-1,35","1,08942283","1,0909","0,42640143","3,0909","1,342","2,2273","1,1925","2,0909","1,1088","1,4091","0,7964"
abgang,"-0,95","1,05006265","1,5417","1,10253331","1,4583","0,779","1,7083","1,0417","1,375","0,7109","1,25","0,6757"
abgas,"-2,05","0,88704121","1,1905","0,51176632","2,9524","1,322","1,9048","1,2209","2,4286","1,165","3,2381","1,4108"
abgrund,"-1,4","0,51639778","1,3","0,97872097","1,5","0,8885","1,8","1,105",3,"1,451","1,25","0,5501"
abhang,"-0,5","0,52704628","1,6522","1,22877232","1,5217","0,9941","1,2609","0,5408","2,8261","1,3702","1,1739","0,5762"
abhilfe,"0,8","0,63245553","2,1","1,33377186","1,2","0,5231","1,2","0,5231","1,25","0,4443","1,1","0,3078"
abitur,"0,8","0,91893658","3,2727","1,38639025","1,5455","0,8579","1,1818","0,5885","1,7273","1,0771","1,1364","0,4676"
abkehr,"-0,6","0,6992059","1,0455","0,21320072","2,2727","1,2025","1,7273","0,9847","1,6364","0,7895","1,0909","0,2942"
ablauf,0,0,"1,4","0,70710678","1,28","0,5416","1,2","0,5","1,36","0,6377","1,24","0,8307"
ableger,"0,1","0,56764621","1,7","1,12857619","1,05","0,2236","1,05","0,2236","1,05","0,2236","1,2","0,4104"
abort,"-0,9","1,197219","1,15","0,36634755","1,95","1,3563","2,15","1,4609","2,35","1,6311","2,9","1,4105"
abreise,"-0,3","0,8232726","2,3","1,45457536","1,2","0,4104","2,1","1,1192","1,45","0,9445","1,05","0,2236"
absage,-2,"0,66666667","1,2917","0,90789612","3,375","1,2091","2,5417","1,4136","2,2083","1,1025","1,0833","0,4082"
absatz,"-0,0882353","0,86576808","1,8333","1,23944822","1,5417","0,9771","1,2083","0,833","1,2917","0,6241","1,0833","0,2823"
abscheu,"-2,1","0,87559504","1,25","0,91046547","2,75","1,3717","1,7","0,9787","2,1","1,2937",3,"1,556"
abschied,"-2,1","0,73786479","1,05","0,2236068","1,6","0,9947","3,7","1,1743","2,35","1,4244",1,0
absender,0,"0,47140452","1,4","0,68055705","1,1","0,3078","1,05","0,2236","1,15","0,4894",1,0
absicht,"0,6","0,96609178","1,65","0,67082039","1,6","0,8208","1,15","0,4894","1,3","0,5712","1,05","0,2236"
abstand,"-0,3529412","1,20308575","1,55","1,27630222","1,6","0,9403","1,45","0,887","1,55","1,0501","1,1","0,4472"
abstieg,"-1,4","0,84327404","1,05","0,2236068","2,1","1,1653",2,"1,2566","2,15","1,268","1,05","0,2236"
absturz,-2,"0,81649658","1,2","0,89442719","1,8","0,9515","2,4","1,3534","3,25","1,3717","1,25","0,5501"
abtei,0,"0,81649658","1,7","1,03109548","1,4","0,9947","1,45","0,9987","1,3","0,7327","1,25","0,4443"
abteil,"-0,15","0,933302","1,5","0,91287093","1,1818","0,5885","1,1364","0,4676","1,0909","0,4264","1,2273","0,6119"
abwasser,"-1,2","0,42163702","1,05","0,2236068","1,7","1,2183","1,2","0,6959","1,25","0,7164","3,25","1,2927"
abweg,"-0,95","0,68633274","1,55","1,09904265","2,45","1,191","1,6","0,8826","2,3","1,0809","1,2","0,4104"
abwehr,"-0,7","1,05934991","1,3182","0,71623112","2,1364","1,2069","1,2727","0,7025","1,8636","1,0821","1,0909","0,2942"
abwurf,"-0,3","0,67494856","1,36","0,90737717","1,44","0,9609","1,16","0,3742","1,6","1,0408","1,36","0,8602"
abzug,"-0,5","0,84983659","1,2857","0,56061191","2,5714","1,4687","1,7143","1,0071","2,2381","1,0443","1,4286","0,9258"
achse,0,"0,97332853","1,4","0,82078268","1,35","0,6708","1,1","0,3078","1,4","0,5982","1,15","0,4894"
achsel,"-0,45","0,68633274","1,1667","0,48154341","1,125","0,4484","1,0833","0,4082","1,1667","0,5647","2,6667","1,2394"
achtung,"0,6","1,42984071","1,6667","1,15470054","1,1905","0,4024","1,0952","0,4364","1,4286","0,8106",1,0
adel,"-0,3","0,9486833","2,1364","1,2069424","2,3182","1,2492","1,3636","0,9021","1,2273","0,4289","1,4091","0,9081"
adjutant,"-0,3","0,48304589","1,35","0,933302","1,2","0,5231","1,05","0,2236","1,2","0,5231","1,1","0,4472"
adler,"1,25","0,96654567","3,64","1,49666295","1,24","0,6633","1,32","0,7483","2,16","0,9434","1,12","0,3317"
adoption,0,"1,05409255","1,9","1,07115285","1,25","0,7164","1,65","0,9333","1,55","0,9445",1,0
adressat,"0,1","0,31622777","1,4","0,82078268","1,3","0,8013","1,15","0,6708","1,2","0,6959","1,05","0,2236"
adria,"1,4","0,96609178","3,2381","1,30018314","1,1429","0,3586","1,2381","0,539","1,0476","0,2182","1,2857","0,7838"
advent,"1,05","1,14593102","4,1364","1,03718734","1,1818","0,5011","1,5455","0,7385","1,1818","0,5011","1,1818","0,5885"
affe,1,"1,45","3,1818","1,2203186","1,4545","0,671","1,3182","0,6463","1,6818","1,0414","1,6818","0,9455"
affekt,0,"0,81649658","1,4783","0,94722394","2,0435","1,0651","1,4783","0,7903","1,7826","0,9514","1,2609","0,5408"
agent,"0,45","1,19097483",2,"1,52177182","1,7","0,9787","1,4","0,9403","1,85","1,1821","1,15","0,3663"
ahnung,"0,7","1,05934991","2,3333","1,49394915","1,5","0,7802","1,25","0,6079","1,8333","1,0495","1,0833","0,4082"
ahorn,"1,3","0,97872097","2,6","1,46539019","1,3","0,8013","1,45","0,9445","1,25","0,5501","1,25","0,5501"
akademie,"0,58823529","1,20899776","2,4","1,04629673","1,05","0,2236","1,05","0,2236","1,35","0,6708",1,0
akribie,"-0,7","0,67494856","1,8","1,1050125","1,6","0,8208","1,05","0,2236","1,3","0,5712","1,05","0,2236"
aktie,"0,6","1,0749677","2,15","1,49648711","2,6","1,4654","1,65","1,1821","2,25","1,3717","1,85","1,4965"
aktion,1,"0,81649658","2,1667","1,20385853","1,4167","0,7755","1,25","0,6079","1,4167","0,7173","1,25","0,5316"
akzent,0,"0,66666667","1,7619","1,2208506","1,3333","0,6583","1,1905","0,5118","1,1905","0,5118","1,1429","0,4781"
alarm,"-1,4","0,59824304","1,5238","1,12334534","2,381","1,2836","1,381","0,669","2,8571","1,3522","1,3333","0,9129"
album,"0,8","0,95145318","2,75","1,33278497","1,35","0,8127","1,5","0,8272","1,1","0,3078","1,35","1,0894"
alkohol,"-0,1","0,73786479","1,7","0,80131471","1,95","1,191","1,45","0,7592","1,75","1,118","1,9","1,0208"
allee,"1,2","0,63245553","3,4","1,23117402","1,4","0,8208","1,6","0,9403","1,4","0,6806","1,15","0,6708"
alltag,"-0,1","0,87559504","1,8696","1,14034874","1,8261","0,7777","1,3043","0,635","1,4783","0,5931","1,2609","0,6192"
almosen,"-0,8","0,91893658","1,55","0,88704121","1,9","1,0712",2,"1,2566","1,55","0,887","1,4","0,9403"
alpdruck,"-1,9","1,197219","1,1","0,30779351","1,15","0,4894","1,2","0,6156","1,9","1,5183","1,1","0,4472"
alptraum,"-2,8","0,63245553",1,0,"1,95","1,1459","2,25","1,1642","3,65","1,1821","1,5",1
altar,"0,3","1,71985311","1,6","1,09544512","1,6","0,9947","2,05","1,099","2,15","1,2258","1,6","0,8826"
altbau,"0,7","1,25166556","3,0435","1,29608715","1,2609","0,6887","1,3043","0,7029","1,3043","0,8221","1,3043","0,635"
alter,"-0,55","1,23437604","2,3333","1,42594998","1,5714","0,9258","1,9524","1,117","2,4762","1,2891","1,619","1,2032"
amateur,"-0,3","1,05934991","1,25","0,63866637","1,7","0,9787","1,15","0,3663","1,2","0,5231","1,25","0,9105"
amboß,"-0,32","1,36","1,9","1,25236618","1,45","0,887","1,1","0,3078","1,3","0,7327","1,2","0,6959"
amerika,"0,4","1,42984071","2,25","1,40955387","2,05","1,099","1,4","0,6806","1,4","0,7539","1,35","0,8751"
ampel,"-0,7","0,80131471","1,381","0,66904338","2,9048","1,3002","1,2857","0,5606","1,5714","1,165","1,4762","1,1233"
ampulle,"-0,73","1,2","1,05","0,2236068","1,15","0,6708","1,2","0,8944","1,75","1,0699","1,6","0,8826"
amsel,"1,15","0,98808693","2,9524","1,39557123","1,3333","0,5774","1,381","0,9207","1,1905","0,4024","1,381","0,74"
amulett,"0,9","0,73786479","2,9","1,41048704","1,1","0,4472","1,15","0,3663","1,15","0,3663","1,15","0,4894"
anbau,"0,85","0,87509398","2,1905","1,07791686","1,6667","1,0165","1,3333","0,9129","1,381","0,8047","1,1429","0,3586"
Ã¤nderung,"0,35294118","1,25244858","1,6","0,82078268","1,5","0,7609","1,35","0,6708","1,7","0,9234",1,0
anekdote,"0,8","1,03279556","2,8","1,23969436","1,05","0,2236","1,15","0,4894","1,05","0,2236","1,05","0,2236"
anfall,"-1,7","1,21828179","1,3043","0,926125","2,1304","1,3917","1,7391","1,0962","2,913","1,1246","1,4783","0,7305"
anfang,"0,8","0,78881064",3,"1,51185789","1,2727","0,6311","1,3636","0,7895","1,5909","0,9081",1,0
anflug,"0,5",1,"2,16","1,31275791","1,36","0,7572","1,12","0,6","1,6","1,1547","1,36","1,036"
angebot,"0,97058824","0,86987614","2,4","1,04629673","1,05","0,2236",1,0,"1,1","0,3078",1,0
angel,"-0,15","1,13670808",2,"1,21395396","1,5","0,8885","1,3","0,7327","1,45","0,8256","1,4","0,5982"
angler,"-0,2","0,95145318","1,6522","0,88465174","1,3913","1,0331","1,3478","1,0273","1,3043","0,9261","1,7391","1,2142"
angriff,-2,"1,05409255","1,65","1,18210339","2,6","1,1877","1,65","1,0894","3,05","1,3169","1,15","0,6708"
angst,"-2,6","0,6992059","1,3","0,92338052","2,5","1,2354","2,05","1,2344","3,15","1,3089","1,45","0,6048"
anker,1,"0,97332853","2,1818","1,2203186","1,1364","0,4676","1,3182","0,7799","1,4545","1,0108","1,2273","0,5284"
anklage,"-1,5","0,97182532","1,3","0,97872097","2,4","1,2732","1,5","0,6882","1,95","1,0501","1,05","0,2236"
anklang,"1,4","0,84327404","2,15","1,38696943","1,1","0,4472","1,1","0,3078",1,0,"1,05","0,2236"
anleihe,"-0,8529412","1,07681778","1,25","0,63866637","1,55","0,9987","1,15","0,3663","1,35","0,8127","1,05","0,2236"
anmut,"1,8","0,69585237","3,3","1,30182059","1,4","0,9947","1,6","1,0954","1,4","0,9403","1,2","0,5231"
annahme,"0,23529412","0,74095857","1,9","1,16528741","1,1","0,3078","1,05","0,2236","1,25","0,6387",1,0
anomalie,"-1,5","0,84983659","1,2","0,52314836","1,75","1,0699","1,85","1,1821","1,95","1,099","1,75","1,118"
anregung,"1,3","0,48304589","2,35","0,933302","1,15","0,4894",1,0,"1,1","0,4472","1,05","0,2236"
anreiz,"1,3","0,65694669","2,375","1,3125647","1,625","0,9696","1,0833","0,2823","1,375","0,6469","1,3333","0,5647"
anruf,"1,35","0,74515982","2,8095","1,36451631","1,5714","0,9258","1,2381","0,7003","1,619","0,8646","1,2381","0,6249"
ansporn,"1,5","1,08012345","3,1","1,37266548","1,15","0,3663",1,0,"1,15","0,3663","1,05","0,2236"
anteil,"0,3","0,67494856","1,8095","1,03048763","1,381","0,669","1,2381","0,539","1,1429","0,4781","1,0476","0,2182"
antrag,"0,3","0,8232726","2,375","1,27901117","1,8333","1,2394","1,5417","1,1025","2,0417","1,3015","1,4583","1,1025"
antwort,"0,94117647","0,85071009","2,45","1,27630222","1,05","0,2236","1,15","0,4894","1,35","0,5871",1,0
anwalt,"-0,2","1,05630936","1,4783","0,99405347",2,"1,3484","1,2609","0,6192","1,6087","0,8913","1,3043","0,9261"
anzahl,"0,2","0,52314836","1,1818","0,50108108","1,0909","0,2942","1,0455","0,2132","1,1364","0,3513","1,0455","0,2132"
apathie,"-1,6","1,0749677","1,25","0,91046547","1,6","0,7539","2,2","1,105","2,05","1,2344","1,05","0,2236"
apfel,"1,2","1,00524938","3,35","1,13670808","1,25","0,6387","1,3","0,6569","1,15","0,3663","1,2","0,4104"
appetit,"1,1","0,99442893","2,65","1,56524758","1,15","0,3663",1,0,"1,1","0,4472","1,15","0,3663"
applaus,"1,8","0,91893658","3,55","1,46808145","1,1","0,3078","1,15","0,4894","1,25","0,7164",1,0
aquarium,"0,59","1,33","2,9","1,20961064","1,15","0,4894","1,05","0,2236",1,0,"1,1","0,4472"
arbeit,"0,05","1,43178211","1,7273","0,88273483","2,0909","0,9715","1,3636","0,658",2,"1,1127","1,3636","0,7895"
arbeiter,"-0,2352941","1,10258164","1,25","0,5501196","1,3","0,6569","1,25","0,4443","1,05","0,2236","1,25","0,6387"
archiv,"0,45","0,94451324","1,4348","0,99206337","1,1304","0,4577","1,2609","0,6192","1,2609","0,6192","1,087","0,417"
Ã¤rger,"-1,9","0,57","1,45","0,99868334","3,8","1,4726","1,8","1,105","2,2","1,1517","1,6","0,9947"
Ã¤rgernis,"-1,9","0,57","1,05","0,2236068","3,7","1,1743","1,65","1,04","1,8","1,2397","1,3","0,5712"
argwohn,"-1,3","0,67494856","1,25","0,91046547","2,5","1,2354","1,25","0,5501","1,45","0,6863","1,1","0,3078"
armee,"-2,1","0,96790604","1,619","1,28359614","3,1905","1,5368","2,0476","1,244","3,1429","1,2364","2,0952","1,4108"
armut,"-1,95","1,14593102","1,15","0,36634755","3,3","1,2607","3,3","1,4546","3,05","1,2763","1,85","1,2258"
aroma,"1,4","0,84327404","3,2","1,32188064","1,45","0,9987","1,4","0,8826","1,45","0,9987","1,7","0,8013"
arrest,-2,"0,79471941",1,0,"2,7391","1,3557","1,9565","1,2239","2,4783","1,3097","1,5652","1,0369"
arroganz,"-1,9","0,73786479","1,1","0,30779351","3,75","1,1642","1,35","0,6708","1,25","0,5501","1,9","1,2937"
arsch,"-1,1","1,79195734","2,65","1,59851905","2,85","1,4244","1,35","0,5871","1,3","0,8013",2,"1,4142"
arsen,-2,"0,81649658","1,35","0,98808693","1,75","1,0195","1,45","0,9987","2,6","1,429","2,1","1,2524"
arsenal,"-0,9","0,87559504","1,45","0,99868334","1,75","0,9105","1,2","0,5231","1,8","1,2814","1,2","0,6156"
arzt,"0,08823529","1,56413684","1,9524","1,20317042","2,1905","1,2498","1,7143","1,0556","2,6667","1,354","1,8095","1,3274"
asche,-1,"1,21395396","1,45","0,99868334","1,65","1,04","3,2","1,3992","2,45","1,4318","1,6","0,9403"
askese,"-0,4","0,84327404","1,2857","0,90237781","1,1429","0,4781","1,0952","0,3008","1,0476","0,2182","1,2381","0,539"
asket,"-0,7","0,8232726","1,85","1,30887658","1,45","0,6863","1,55","0,6863","1,35","0,5871","1,3","0,9234"
asyl,"-0,3","1,70293864","1,8095","1,12334534","2,4762","1,167","2,1905","1,2091","2,0952","0,9437","1,381","0,9735"
atemnot,"-2,2","0,78881064",1,0,"1,75","1,1642","1,85","1,3485","3,65","1,3089","1,4","0,7539"
atlas,"0,95","1,05006265",2,"1,29777137","1,6","1,0463","1,25","0,7164","1,35","0,7452","1,1","0,3078"
atmung,"1,9","0,73786479","1,9091","1,1916012","1,2273","0,6853","1,1364","0,3513","1,2273","0,5284","1,2727","0,5505"
attentat,"-2,4","0,6992059",1,0,"3,65","1,2258","2,6","1,3534","3,45","1,3945","1,85","1,387"
aufbau,"0,55","0,99868334","1,9091","1,41114917","1,2727","0,8827",1,0,"1,2273","0,8691","1,0909","0,4264"
aufbruch,"0,9","0,99442893","2,55","0,88704121","1,2","0,5231","1,45","0,6863","1,95","0,9445",1,0
aufgabe,"0,41176471","1,30541174","1,85","1,03998988","1,7","1,0311","1,3","0,8013","1,6","0,9947",1,0
aufnahme,"0,67647059","1,06516717",2,"1,02597835","1,05","0,2236",1,0,"1,1","0,4472","1,15","0,4894"
aufpreis,"-1,4","1,0749677",1,0,"3,15","1,1367","1,15","0,3663",1,0,"1,2","0,5231"
aufsatz,"0,1","0,73786479","1,65","1,03998988","1,45","0,6863","1,1","0,3078","1,6","1,0463","1,05","0,2236"
aufseher,"-0,9","0,31622777","1,05","0,2236068","2,65","1,2258","1,1","0,3078","1,9","0,9679","1,45","1,0501"
aufstand,"-1,2","1,22927259","1,3","0,65694669","2,45","0,9987","1,4","0,6806","2,3","1,2183","1,15","0,6708"
aufstieg,"1,8","0,42163702","2,95","1,19097483","1,3","0,8013","1,05","0,2236","1,45","0,7592","1,05","0,2236"
auftrag,"0,7","0,67494856","2,25","1,44641117","1,05","0,2236",1,0,"1,3","0,5712",1,0
aufwind,"1,3","1,15950181","2,75","1,40955387","1,35","0,8751","1,1","0,4472","1,15","0,4894","1,1","0,4472"
aufzucht,"0,3","1,15950181","1,7","0,80131471","1,5","0,8885","1,15","0,3663","1,25","0,7164","1,55","0,9445"
auge,"1,11764706","1,20011883","2,2857","1,27054544","1,0952","0,3008","1,1905","0,6796","1,3333","0,7303","1,8571","1,0142"
august,"1,5","0,97182532","2,9524","1,56448683","1,1429","0,4781","1,1905","0,5118","1,0952","0,4364","1,1429","0,4781"
ausbau,"0,61764706","0,81704219","1,6818","0,8937009","1,1818","0,3948","1,0455","0,2132","1,1818","0,3948","1,1364","0,4676"
ausblick,1,"0,66666667",3,"1,21395396","1,05","0,2236","1,15","0,3663","1,25","0,7164",1,0
ausbruch,"-0,7","0,8232726","1,35","0,8127277","2,15","1,3089","1,5","0,9459","2,25","1,2927","1,25","0,7164"
ausdauer,"1,6","0,6992059",2,"1,21395396",1,0,1,0,"1,1","0,3078","1,05","0,2236"
ausfall,"-1,2","0,63245553","1,45","1,09904265","2,4","1,3139","1,15","0,4894","1,55","0,7592","1,1","0,4472"
ausflug,"1,5","0,52704628","3,7","1,26074331","1,05","0,2236","1,05","0,2236","1,15","0,3663","1,05","0,2236"
ausgabe,"-0,2647059","1,02421658","1,55","0,88704121","1,4","1,0954","1,05","0,2236","1,2","0,6959",1,0
auskunft,"0,5","0,84983659","1,95","0,99868334","1,1","0,3078","1,1","0,4472","1,05","0,2236",1,0
ausmaß,"-0,4117647","0,89163272","1,1818","0,39477102","1,3636","0,7895","1,2727","0,5505","1,5","0,8591","1,0909","0,2942"
ausnahme,"0,20588235","1,27396807","1,6","0,82078268","1,4","0,6806","1,15","0,4894","1,25","0,5501","1,05","0,2236"
aussage,0,"0,47140452","1,25","0,63866637","1,2","0,5231",1,0,"1,35","0,9333",1,0
aussicht,"1,47058824","0,86112309","2,85","1,08942283",1,0,"1,1","0,4472","1,15","0,3663",1,0
ausstieg,"-0,5","0,52704628","1,35","0,58714295","1,55","0,887","1,35","0,6708","1,4","0,6806",1,0
auswahl,"0,70588235","1,11544017","2,05","1,09904265","1,4","0,5982","1,05","0,2236","1,15","0,4894",1,0
auswurf,"-0,9","1,10050493","1,1","0,4472136","1,2","0,6959","1,05","0,2236","1,25","0,5501","2,5","1,5044"
aversion,"-1,7","0,67494856","1,05","0,2236068","2,1","1,1653","1,15","0,3663","1,55","0,887","2,15","1,3089"
baby,"1,9","1,197219","3,55","1,31689427","1,55","0,9987","1,4","0,9947","2,25","1,2927","1,5","1,1002"
bach,1,"0,81649658","3,5238","1,12334534","1,1905","0,5118","1,2381","0,539","1,4286","0,6761","1,0952","0,3008"
bagger,"0,36","0,85","1,6364","1,09307145","1,2273","0,7516",1,0,"1,1364","0,4676","1,1818","0,5011"
bahre,"-1,6","1,0749677","1,2","0,52314836","1,7","1,0809","2,8","1,4726","2,85","1,2258","1,95","1,3563"
bakterie,"-1,7","0,48304589","1,05","0,2236068","1,85","1,1821","1,35","0,7452","2,55","1,2763","3,05","1,3169"
balance,"0,9","1,10050493","2,95","1,19097483","1,1","0,4472","1,1","0,3078","1,15","0,3663",1,0
balken,"0,3","0,97872097","1,25","0,67566392","1,2917","0,7506","1,125","0,4484","1,3333","0,637","1,1667","0,4815"
balkon,"1,35","0,8127277","2,9091","1,26901127","1,1364","0,3513","1,1364","0,4676","1,2727","0,6311","1,0455","0,2132"
ball,"1,5","1,3","2,9048","1,44584791","1,3333","0,7958","1,1905","0,8729","1,2381","0,539",1,0
ballast,"-1,1","0,31622777","1,15","0,67082039","2,45","1,191","1,3","0,6569","1,45","0,6863","1,3","0,9234"
ballon,"1,35","0,8127277","2,7727","1,34276964","1,0455","0,2132","1,0909","0,2942","1,0909","0,2942","1,2727","0,6311"
balsam,"1,3","0,7326951","3,3043","1,39592858",1,0,"1,0435","0,2085",1,0,"1,1739","0,3876"
baltikum,0,"1,33333333","1,7","1,1742859","1,1","0,3078","1,1","0,4472","1,1","0,3078","1,2","0,8944"
banane,"1,32","1,32","2,7727","1,60154147","1,0455","0,2132","1,0455","0,2132",1,0,1,0
bandit,"-0,95","1,19097483","1,3043","0,926125","2,5217","1,2384","1,4783","1,1627","2,2174","1,3469","1,3478","0,7751"
bank,"-0,2352941","1,15624323",2,"1,41421356","2,619","1,3593","1,6667","1,1106","1,8571","1,1526","1,619","1,244"
banner,0,"0,47140452","1,4348","0,89575194","1,2174","0,5184","1,087","0,2881","1,0435","0,2085","1,0435","0,2085"
barbar,"-1,05","1,27630222","1,4348","1,07981846","2,2174","1,3128","1,4348","0,7278","2,2609","1,2142","1,6957","1,0196"
bargeld,"1,8","0,91893658","3,35","1,46089374","1,35","0,8127","1,1","0,3078","1,55","1,0501","1,15","0,4894"
barriere,"-1,3","0,48304589","1,1","0,30779351","2,65","0,9333","1,35","0,5871","1,7","0,9234","1,05","0,2236"
barsch,"-1,3","0,67","1,7727","1,15188534","1,5909","1,1406","1,3182","0,9455","1,2273","0,6119","1,4545","0,671"
basis,"0,35","0,58714295","2,0476","1,28359614","1,2381","0,4364","1,1429","0,3586","1,4286","0,8106","1,2381","0,8891"
bastard,"-1,5","0,84983659","1,15","0,48936048","2,55","1,4318","1,45","0,7592","1,65","1,387","1,5",1
batterie,"-0,14","0,71","1,15","0,36634755","1,05","0,2236",1,0,"1,05","0,2236","1,05","0,2236"
bauer,"0,15","0,98808693","1,8","1,1050125","1,9","1,2096","1,65","1,1367","1,5",1,"1,85","1,2258"
baum,"1,5","1,26929552","3,4783","1,34399558","1,4348","0,8958","1,6957","1,1455","1,5652","1,161","1,1739","0,3876"
bazille,"-1,7","0,67494856",1,0,"2,1","1,1192","1,3","0,6569","2,8","1,4726","3,3","1,4179"
beamte,"-1,4117647","1,10419715","1,1364","0,35125009","2,5","1,4392","1,1364","0,4676","1,3636","0,5811","1,6364","1,1358"
becher,"0,55","0,94451324","1,3636","0,7267314","1,0909","0,2942","1,0455","0,2132","1,0455","0,2132","1,2273","0,5284"
bedarf,"-0,2647059","0,9312365","1,0909","0,29424494","1,2727","0,5505","1,1818","0,5011","1,3636","0,5811","1,0909","0,2942"
bedenken,"0,17647059","1,11384097","1,15","0,36634755","2,05","0,9445","1,5","0,513","2,35","0,8127","1,05","0,2236"
befehl,-2,"0,72547625","1,3043","0,926125","3,3043","1,3292","1,3043","0,5588","2,087","1,0835","1,5217","1,2011"
befinden,"0,32352941","0,94454056","1,55","0,82557795","1,15","0,3663","1,3","0,5712","1,35","0,6708",1,0
befreier,"1,3","1,25166556","3,4","1,39170475","1,35","0,8127","1,2","0,5231","1,3","0,5712","1,1","0,4472"
befugnis,"0,7","1,15950181","1,7143","0,90237781","1,6667","0,9129","1,0476","0,2182","1,3333","0,5774","1,0476","0,2182"
befund,"-0,15","0,87509398","1,2273","0,52841345","1,3636","0,7267","1,5","0,9129","2,6364","1,59","1,1818","0,5011"
begabung,"2,2","0,78881064","3,6","0,88257995","1,25","0,5501","1,15","0,4894","1,35","0,6708",1,0
begierde,"0,2","1,3984118","2,05","1,09904265","1,6","0,8208","1,15","0,3663","1,3","0,5712","1,55","0,9987"
beginn,"1,3","0,9486833","2,7619","1,41084237","1,0476","0,2182",1,0,"1,5714","1,0282","1,0476","0,2182"
behÃ¶rde,"-1,5294118","1,13445472","1,2","0,89442719","3,05","1,2763","1,2","0,6959","1,35","0,5871","1,45","0,9987"
beichte,"-0,2","0,91893658","1,3","0,65694669","1,95","1,191","1,9","0,9679","2,4","1,3139","1,65","1,0894"
beifall,"1,7","0,67494856","3,5","1,35724179",1,0,1,0,"1,05","0,2236",1,0
beihilfe,"0,5","1,1785113","1,35","0,67082039","1,95","1,2344","1,45","0,8256","1,3","0,6569","1,25","0,9105"
beil,"-1,64","1,22","1,1905","0,67963576","2,1905","1,167","1,6667","0,9129","3,2857","1,3836","1,7619","1,0443"
beileid,-2,"0,81649658","1,1","0,30779351","1,35","0,5871","3,25","1,2927","1,75","1,118",1,0
beispiel,"0,3030303","0,52943652","1,4","0,82078268","1,05","0,2236",1,0,1,0,1,0
beleg,"-0,3","1,12857619","1,55","0,94451324","1,95","1,2763","1,3","0,8013","1,45","0,8256","1,45","0,9987"
bengel,"-0,15","1,18210339","1,4348","0,66237088","2,1739","1,114","1,087","0,2881","1,1739","0,3876","1,3913","0,8913"
benzin,"-0,8","1,15165784","1,4286","0,87013956","2,1429","1,3148","1,1905","0,4024","1,5714","0,8701","1,9048","1,0911"
beratung,"0,8","1,13529242","1,75","0,91046547","1,15","0,4894","1,15","0,4894","1,35","0,6708",1,0
bereich,"0,02941176","0,38810293","1,15","0,36634755",1,0,1,0,1,0,"1,05","0,2236"
bericht,"-0,0294118","0,67353856","1,25","0,63866637","1,25","0,7164",1,0,"1,35","0,9881",1,0
beruf,"0,6","0,94032469","2,619","1,35927151","1,8095","0,9284","1,3333","0,8563","2,2857","1,3093","1,1905","0,6796"
besen,"-0,25","1,06992376","1,3333","0,57735027","2,1429","1,1952","1,2857","0,6437","1,2381","0,7003","1,6667","1,1106"
besteck,"0,59","1,1","1,7","1,26074331","1,15","0,4894","1,05","0,2236",1,0,"1,05","0,2236"
bestie,"-2,1","0,73786479","1,375","0,76966961","1,9167","1,316","1,4583","1,1788","2,7083","1,6011","2,25","1,4219"
besuch,1,"0,81649658","3,0909","1,26901127","1,2273","0,5284","1,1364","0,3513","1,3636","0,7895","1,1364","0,4676"
besucher,1,"0,92113237","2,8","1,1050125","1,1","0,3078",1,0,"1,15","0,3663",1,0
betrag,"-0,15","1,18210339","1,1429","0,47809144","1,619","0,9735","1,1905","0,5118","1,381","0,74","1,1429","0,4781"
betrieb,"-0,2352941","0,95533029","1,5","0,82717019","1,35","0,9881","1,1","0,3078","1,15","0,3663","1,1","0,4472"
betrug,"-2,05","1,19097483","1,0455","0,21320072","3,3636","1,4325","1,8182","1,1396","2,3182","1,3233","1,2727","0,5505"
bett,2,"0,81649658","3,9","0,96790604","1,15","0,4894","1,15","0,4894","1,15","0,4894","1,2","0,5231"
beule,"-1,4","0,88257995","1,45","0,75915465","3,15","1,387",2,"1,214","1,85","1,1367","1,95","1,1459"
